"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","27","219095576DA","12","C/C","S","6   Voyage ST #104","Marina Del Rey","2","2.00 (1 1 0 0)","970","$1,644.33","$1,595,000","$1,450,000","$595.00","11,091","1968","75"
"","23","22-225061","12","C/C","S","6   Northstar St #207","Marina Del Rey","2","2.00 (2 0 0 0)","961","$2,289.28","$2,200,000","$2,150,000","$775.00","18,535","1969","182"
"","12","223001521VC","12","C/C","S","4337   Marina City DR #137","MARINA DEL REY","2","2.00 (2 0 0 0)","1,422","$348.10","$495,000","$465,000","$1,323.00","","1972","170"
"","1","223002126VC","12","C/C","S","11918   Avon WAY #7","LOS ANGELES","2","2.00 (2 0 0 0)","1,091","$732.36","$799,000","$851,000","$425.00","8,067","1982","29"
"","28","223003006VC","12","C/C","S","4333   Alla RD #1","MARINA DEL REY","2","2.00 (2 0 0 0)","1,057","$917.69","$970,000","$970,000","$687.00","390,060","1975","24"
"","37","224000452VC","12","C/C","S","4150   Via Dolce  #125","MARINA DEL REY","2","2.00 (2 0 0 0)","1,419","$668.78","$949,000","$958,500","$936.00","191,326","1974","38"
"","1","23-248679","12","C/C","S","13700   Marina Pointe Dr #1412","Venice","1","2.00 (1 0 1 0)","1,088","$917.28","$998,000","$925,000","$1,081.20","124,662","2003","167"
"","55","23-256357","12","C/C","S","13700   Marina Pointe Dr #1124","Marina Del Rey","2","3.00 (2 0 1 0)","1,770","$901.13","$1,595,000","$1,550,000","$1,231.00","124,670","2003","98"
"","19","23-257517","12","C/C","S","4267   Marina City DR #500 WTS","MARINA DEL REY","3","2.00 (1 1 0 0)","1,722","$487.22","$839,000","$839,000","$1,601.15","","1972","66"
"","20","23-262269","12","C/C","S","11930   Avon Way #207","Los Angeles","2","2.00 (2 0 0 0)","965","$777.20","$749,999","$740,000","$400.00","14,836","1986","48"
"","1","23-264847","12","C/C","S","4151   Redwood Ave #105","Los Angeles","2","4.00 (3 0 1 0)","1,960","$841.84","$1,650,000","$1,650,000","$407.57","0","2007","14"
"","3","23-265157","12","C/C","S","4   Jib St #12","Marina Del Rey","2","3.00 (2 0 1 0)","2,040","$1,860.29","$3,795,000","$3,485,000","$725.00","18,535","1973","109"
"","1","23-267685","12","C/C","S","4344   Glencoe Ave #3","Marina Del Rey","2","3.00 (2 0 1 0)","1,866","$669.35","$1,249,000","$1,222,000","$580.00","552,048","1974","13"
"","33","23-267863","12","C/C","S","4080   Glencoe Ave #226","Marina Del Rey","2","2.00 (2 0 0 0)","1,620","$802.47","$1,299,999","$1,262,500","$671.00","6,758","2011","155"
"","30","23-269425","12","C/C","S","3950   Via Dolce  #519","Marina Del Rey","2","3.00 (2 0 1 0)","1,886","$795.33","$1,500,000","$1,530,000","$780.00","191,275","1974","32"
"","51","23-269571","12","C/C","S","310   Tahiti Way #315","Marina Del Rey","2","2.00 (2 0 0 0)","1,428","$717.79","$1,025,000","$1,015,000","$971.00","194,601","1979","168"
"","25","23-269657","12","C/C","S","5000  S Centinela Ave #336","Los Angeles","1","1.00 (0 1 0 0)","829","$686.97","$569,500","$570,000","$384.00","142,789","1970","56"
"","25","23-272489","12","C/C","S","4337   Marina City Dr #739","Marina Del Rey","2","2.00 (2 0 0 0)","1,425","$417.54","$595,000","$585,000","$1,323.37","","1974","95"
