"Open Houses","Photo","MLS","AR","S","Address","City","BR","Baths(FTHQ)","SqFt","Lot Sz","YB","LP","SP","Lease Terms","Furnished","DOM"
"","6","SB25120628MR","11","LD","101   Dudley Ave #305","VENICE","0","0.00 (0 0 0 0)","200","6,098","1914","$1,598","$1,498","1+Year,1-Year,Month-to-Month,Other","Unfurnished","20"
"","22","25521999","11","LD","16   Clubhouse Ave #14","Venice","0","1.00 (1 0 0 0)","340","5,400","1908","$1,695","$1,695","1+Year,1-Year,12 Months","Furnished","65"
"","22","25501137","11","LD","109   Brooks Ave #1","Venice","0","1.00 (1 0 0 0)","275","2,248","1965","$1,750","$1,750","Month-to-Month","Unfurnished","20"
"","20","25522021","11","LD","16   Clubhouse Ave #16","Venice","0","1.00 (1 0 0 0)","340","5,400","1908","$1,795","$1,795","1+Year,1-Year,12 Months","Furnished","49"
"","10","BB24248193MR","11","LD","956   Vernon  #B","VENICE","0","1.00 (1 0 0 0)","300","4,811","1923","$1,875","$1,875","","Furnished","6"
"","7","24-397475","11","LD","2337   Penmar Ave #2339","Venice","1","1.00 (1 0 0 0)","","8,305","1955","$1,900","$1,900","1+Year,1-Year","Unfurnished","77"
"","41","25521409","11","LD","309   Broadway St #2","Venice","0","1.00 (1 0 0 0)","300","15,597","1961","$1,950","$1,950","Month-to-Month","Unfurnished","6"
"","10","SB25120635MR","11","LD","30   Dudley Ave #3","VENICE","0","1.00 (1 0 0 0)","200","3,746","1908","$1,993","$1,998","1+Year,1-Year,Month-to-Month,Other","Unfurnished","43"
"","8","24-462819","11","LD","2337   Penmar Ave #2339","Venice","1","1.00 (1 0 0 0)","","8,305","1955","$1,995","$1,995","1+Year,1-Year","Unfurnished","23"
"","11","25523749","11","LD","311  N Venice Blvd #1","Venice","0","1.00 (1 0 0 0)","","3,142","1924","$2,000","$2,000","Month-to-Month","Unfurnished","4"
"","10","25500737","11","LD","440   Howland Canal  #A","Venice","1","1.00 (1 0 0 0)","350","2,850","1924","$2,029","$2,029","1-Year,1+Year","Unfurnished","83"
"","10","SB25120638MR","11","LD","30   Dudley Ave #6","VENICE","0","1.00 (1 0 0 0)","200","3,746","1908","$2,098","$2,098","1+Year,1-Year,Other","Unfurnished","30"
"","19","25504123","11","LD","2337   Penmar Ave #7","Venice","1","1.00 (1 0 0 0)","","8,305","1955","$2,100","$2,100","12 Months","Unfurnished","15"
"","9","24-466203","11","LD","315  N VENICE BLVD #1","VENICE","0","1.00 (1 0 0 0)","250","3,143","1924","$2,100","$2,050","Month-to-Month","Unfurnished","14"
"","15","25515957","11","LD","850   Venezia Ave ","Venice","0","1.00 (1 0 0 0)","436","3,673","1923","$2,200","$2,200","1+Year","Unfurnished","2"
"","17","25530499","11","LD","216   6th AVE ","VENICE","0","1.00 (1 0 0 0)","300","4,224","1951","$2,200","$2,200","1+Year","Unfurnished","35"
"","13","SR24252769MR","11","LD","1302   Pacific Ave #1","VENICE","0","1.00 (1 0 0 0)","400","2,265","1912","$2,200","$2,200","","Unfurnished","10"
"","14","25490859","11","LD","16   Clubhouse Ave #7","Venice","1","1.00 (1 0 0 0)","600","5,400","1908","$2,295","$2,295","1+Year,1-Year,12 Months","Furnished","168"
"","10","SB25120640MR","11","LD","30   Dudley Ave #10","VENICE","0","1.00 (1 0 0 0)","200","3,746","1908","$2,298","$2,098","1+Year,1-Year,Month-to-Month,Other","Unfurnished","25"
"","14","24-470007","11","LD","115   Breeze Ave #2","Venice","1","1.00 (1 0 0 0)","510","2,251","1915","$2,300","$2,300","Month-to-Month","Unfurnished","6"
"","11","24-421831","11","LD","961   Marco Pl #1/2","Venice","0","1.00 (0 1 0 0)","350","3,600","1920","$2,300","$2,300","1+Year","Unfurnished","29"
"","16","24-473169","11","LD","426   RIALTO AVE #C","VENICE","0","1.00 (1 0 0 0)","","2,550","1921","$2,350","$2,350","1+Year","Unfurnished","11"
"","11","24-456221","11","LD","3005   Ocean Front Walk #B","Venice","1","1.00 (1 0 0 0)","","2,520","1960","$2,350","$2,300","1+Year","Unfurnished","20"
"","4","SB25120642MR","11","LD","30   Dudley Ave #17","VENICE","0","1.00 (1 0 0 0)","200","3,746","1908","$2,398","$2,498","1+Year,1-Year,Month-to-Month,Other","Unfurnished","0"
"","1","25-484475","11","LD","1105   Garfield Ave #1/2","Venice","0","1.00 (1 0 0 0)","0","10,161","1924","$2,400","$2,400","1+Year","Unfurnished","7"
"","26","24-440231","11","LD","305 309  Broadway St #14","Venice","1","1.00 (1 0 0 0)","535","15,597","1961","$2,400","$2,400","6 Months,Month-to-Month","Unfurnished","33"
"","24","24-412283","11","LD","115   Breeze Ave #4","Venice","1","1.00 (1 0 0 0)","500","2,251","1915","$2,400","$2,400","1-Year","Unfurnished","14"
"","10","25500745","11","LD","440   Howland Canal  #D","Venice","1","1.00 (1 0 0 0)","350","2,850","1924","$2,420","$2,420","1-Year,1+Year","Unfurnished","40"
"","12","24-426821","11","LD","1304   Riviera Ave #C","Venice","1","1.00 (1 0 0 0)","550","4,933","1914","$2,425","$2,425","1+Year","Unfurnished","29"
"","35","25513053","11","LD","315  N Venice Blvd #2","Venice","0","1.00 (1 0 0 0)","350","3,143","1924","$2,450","$2,300","Month-to-Month","Unfurnished","17"
"","12","SR24252754MR","11","LD","1302   Pacific Ave #2","VENICE","1","1.00 (1 0 0 0)","500","2,265","1912","$2,450","$2,450","1-Year","Unfurnished","32"
"","1","25554431","11","LD","1167   Nelrose Ave ","Venice","1","1.00 (1 0 0 0)","1,888","4,401","1952","$2,450","$2,450","Negotiable","Unfurnished","19"
"","17","25578999","11","LD","313   Mildred Ave #25","Venice","1","1.00 (1 0 0 0)","650","17,558","1960","$2,495","$2,495","1+Year,1-Year,12 Months","Furnished","14"
"","19","OC24123897MR","11","LD","23   Rose  #1/2","VENICE","0","1.00 (1 0 0 0)","450","3,111","1952","$2,495","$2,495","","Unfurnished","162"
"","21","25544661","11","LD","2400   Pacific Ave #3","Venice","1","1.00 (1 0 0 0)","600","2,846","1945","$2,495","$2,495","1+Year,1-Year,12 Months","Unfurnished","26"
"","17","25490851","11","LD","313   Mildred Ave #23","Venice","1","1.00 (1 0 0 0)","650","17,558","1960","$2,495","$2,495","1+Year,1-Year,12 Months","Furnished","155"
"","18","25492401","11","LD","1325   Cabrillo Ave #11","Venice","0","1.00 (1 0 0 0)","","7,655","1920","$2,499","$2,499","1+Year","Unfurnished","11"
"","14","24-446637","11","LD","1325   Cabrillo Ave #7","Venice","0","1.00 (1 0 0 0)","","7,655","1920","$2,499","$2,749","1+Year","Unfurnished","8"
"","13","25540059","11","LD","1325   Cabrillo Ave #7","Venice","0","1.00 (1 0 0 0)","","7,655","1920","$2,499","$2,499","1+Year","Unfurnished","27"
"","12","25542175","11","LD","1325   Cabrillo Ave #3","Venice","0","1.00 (1 0 0 0)","","7,655","1920","$2,499","$2,349","1+Year","Unfurnished","42"
"","9","25496585","11","LD","1325   Cabrillo Ave #10","Venice","0","1.00 (1 0 0 0)","","7,655","1920","$2,499","$2,399","1+Year","Unfurnished","84"
"","14","25559355","11","LD","1325   Cabrillo Ave #5","Venice","0","1.00 (1 0 0 0)","","7,655","1920","$2,499","$2,499","1+Year","Unfurnished","17"
"","11","SR25052120MR","11","LD","34   Ozone Ave #2","VENICE","0","1.00 (1 0 0 0)","400","3,483","1964","$2,500","$2,500","1-Year","Unfurnished","29"
"","18","24-419211","11","LD","40   Rose Ave #6","Venice","1","1.00 (1 0 0 0)","700","3,173","1909","$2,500","$2,500","1+Year,1-Year,12 Months","Unfurnished","25"
"","5","24-419687","11","LD","303   Windward Ave #1/2","Venice","0","1.00 (1 0 0 0)","391","2,850","1979","$2,500","$2,500","1-Year","Unfurnished","45"
"","8","24-386411","11","LD","700   Main St #7","Venice","0","1.00 (1 0 0 0)","","26,081","2008","$2,500","$2,500","6 Months,1-Year,Month-to-Month,Negotiable,Season,Short Term Lease","Furnished","87"
"","18","25490791","11","LD","2326   Pacific Ave #A","Los Angeles","1","1.00 (1 0 0 0)","750","2,888","1945","$2,580","$2,795","1+Year,1-Year,12 Months","Furnished","53"
"","15","25-490613","11","LD","2326   Pacific Ave #5","Los Angeles","1","1.00 (1 0 0 0)","750","2,888","1945","$2,595","$2,595","1+Year,1-Year,12 Months","Unfurnished","75"
"","16","TR24163821MR","11","LD","716   Vernon AVE ","VENICE","1","1.00 (1 0 0 0)","442","5,402","1927","$2,600","$2,500","","Unfurnished","43"
"","19","25559069","11","LD","309   Broadway St #14","Venice","1","1.00 (1 0 0 0)","535","15,597","1961","$2,600","$2,600","Month-to-Month","Unfurnished","34"
"","19","24-465615","11","LD","13421   Zanja Street  ","Venice","0","1.00 (0 1 0 0)","289","3,754","1953","$2,650","$2,200","1+Year","Unfurnished","14"
"","19","24-413707","11","LD","305 309  Broadway St #7","Venice","1","1.00 (1 0 0 0)","535","15,597","1961","$2,650","$2,650","1-Year","Unfurnished","21"
"","17","25490833","11","LD","313   Mildred Ave #12","Venice","1","1.00 (1 0 0 0)","650","17,558","1960","$2,673","$2,895","1+Year,1-Year,12 Months","Furnished","49"
"","12","25554421","11","LD","1307   Innes Pl #C","Venice","1","1.00 (1 0 0 0)","650","2,400","1910","$2,695","$2,695","1+Year","Unfurnished","6"
"","13","25502967","11","LD","1307   Innes Pl #B","Venice","1","1.00 (1 0 0 0)","850","2,400","1910","$2,695","$2,595","1+Year","Unfurnished","50"
"","12","25542609","11","LD","1307   Innes Pl #D","Venice","1","1.00 (1 0 0 0)","600","2,400","1910","$2,695","$2,695","1+Year","Unfurnished","5"
"","19","25547469","11","LD","510   Pacific Ave #5","Venice","1","1.00 (1 0 0 0)","603","6,455","1963","$2,750","$2,750","1+Year","Unfurnished","33"
"","21","24-421639","11","LD","28   CLUBHOUSE AVE #1/2","VENICE","1","1.00 (1 0 0 0)","400","3,136","1910","$2,750","$2,750","1+Year,1-Year","Unfurnished","15"
"","7","24-440471","11","LD","26   OZONE AVE #1","VENICE","1","1.00 (1 0 0 0)","700","3,369","1964","$2,750","$2,650","1+Year","Unfurnished","136"
"","1","24-441705","11","LD","510   Pacific Ave #8","Venice","1","1.00 (1 0 0 0)","493","6,455","1963","$2,750","$2,750","1+Year,1-Year","Unfurnished","118"
"","19","25522617","11","LD","313   Mildred Ave #19","Venice","1","1.00 (1 0 0 0)","650","17,558","1960","$2,765","$2,995","1+Year,1-Year,12 Months","Furnished","10"
