Open Houses,Photo,MLS,AR,Type,S,Address,City,BR,Baths(FTHQ),SqFt,LP $/SqFt,LP,SP,HOD,Lot Sz,YB,DOM,latitude,longitude,unit_count
,1.0,23-298291,11,C/C,S,715   Venice Blvd ,Venice,3,3.00 (3 0 0 0),2830,$687.28,"$1,945,000","$1,925,000",$514.00,0,2017.0,120,33.9909402,-118.458409,
,24.0,23-316271,11,C/C,S,615   Hampton Dr #A101,Venice,1,2.00 (1 0 1 0),1451,$961.41,"$1,395,000","$1,300,000",$605.00,"19,307",2004.0,45,33.9948292,-118.4751824,
,1.0,23-320945,11,C/C,S,721   VENICE BLVD ,VENICE,2,3.00 (2 0 1 0),2310,$725.11,"$1,675,000","$1,625,000",$514.00,0,2018.0,44,33.9909587,-118.4583722,
,1.0,23-325733,11,C/C,S,690   Harbor St #3,Venice,3,3.00 (3 0 0 0),2029,$980.78,"$1,990,000","$1,975,000","$1,726.00","363,726",1986.0,12,33.985392,-118.4582131,
,1.0,23-327291,11,C/C,S,2707   Abbot Kinney Blvd #105,Venice,2,2.00 (2 0 0 0),1052,$879.28,"$925,000","$925,000",$450.00,"12,680",1984.0,58,33.9902102,-118.4642965,
,28.0,24-342989,11,C/C,S,550   Vernon Ave #D,Venice,4,3.00 (2 1 0 0),1970,$856.85,"$1,688,000","$1,610,000",$500.00,"5,110",2005.0,56,33.9962729,-118.470845,
,21.0,24-343405,11,C/C,S,709   Broadway St #1,Venice,2,2.00 (2 0 0 0),1132,"$1,143.99","$1,295,000","$1,180,000",$300.00,"4,431",1991.0,113,33.996313,-118.4652876,
,28.0,24-362961,11,C/C,S,255   Main St #101,Venice,2,2.00 (2 0 0 0),1433,$694.35,"$995,000","$1,050,000",$957.40,"73,400",1989.0,11,33.9947218,-118.4766585,
,34.0,24-377691,11,C/C,S,22   Navy St #303,Venice,2,2.00 (2 0 0 0),1165,"$1,197.42","$1,395,000","$1,383,500",$600.00,"20,258",1973.0,19,33.9962116,-118.4807313,
,14.0,24-386075,11,C/C,S,815   Hampton Dr #8,Venice,2,2.00 (2 0 0 0),1819,$821.88,"$1,495,000","$1,465,000",$677.26,"18,222",2008.0,113,33.9934084,-118.474044,
,39.0,24-387459,11,C/C,S,702   Flower Ave ,Venice,3,3.00 (2 1 0 0),1985,$855.92,"$1,699,000","$1,772,500",$275.00,"5,764",2002.0,13,33.9995772,-118.4687731,
,44.0,24-391703,11,C/C,S,2437   Walnut Ave ,Venice,3,4.00 (4 0 0 0),2181,"$1,008.25","$2,199,000","$2,150,000",$325.00,"5,785",2015.0,49,33.9973272,-118.4516669,
,38.0,24-393797,11,C/C,S,630   Harbor St #4,Venice,3,3.00 (3 0 0 0),2029,"$1,083.79","$2,199,000","$2,199,000","$1,800.00","363,826",1986.0,25,33.985259,-118.460342,
,1.0,24-394289,11,C/C,S,512   BROOKS AVE #2,VENICE,3,3.00 (2 0 1 0),2356,$912.56,"$2,150,000","$1,920,000",$800.00,0,2010.0,41,33.9944102,-118.4704641,
,34.0,24-396285,11,C/C,S,351   Indiana Ave ,Venice,3,3.00 (3 0 0 0),1928,$972.51,"$1,875,000","$1,925,000",$250.00,"6,001",1991.0,8,33.9941726,-118.4733046,
,28.0,24-397763,11,C/C,S,1128   5th Ave ,Venice,2,3.00 (2 0 1 0),1753,"$1,140.33","$1,999,000","$1,990,000",$648.00,"10,250",1999.0,6,33.9926001,-118.4694484,
,12.0,24-405520,11,C/C,S,18  N Venice Blvd #A,Venice,2,2.00 (2 0 0 0),1456,$884.62,"$1,288,000","$1,425,000",$675.00,"4,981",1983.0,7,33.9845093,-118.470756,
,1.0,24-421457,11,C/C,S,717   Venice Blvd ,Venice,1,1.00 (1 0 0 0),870,$402.30,"$350,000","$350,000",$514.00,"8,152",2017.0,28,33.9909464,-118.4583967,
,10.0,24-423747,11,C/C,S,445   Washington Blvd #11,Marina Del Rey,2,1.00 (1 0 0 0),780,"$1,024.36","$799,000","$790,000",$510.00,"12,508",1978.0,16,,,
,45.0,24-430295,11,C/C,S,100  S Venice Blvd #8,Venice,2,2.00 (1 1 0 0),966,$982.40,"$949,000","$949,000",$641.81,"6,641",1973.0,29,33.984485,-118.469467,
,34.0,24-432971,11,C/C,S,615   Hampton Dr #C304,Venice,2,2.00 (2 0 0 0),1737,$949.91,"$1,650,000","$1,644,000",$635.00,"14,228",2004.0,132,33.9948292,-118.4751824,
,28.0,24-457765,11,C/C,S,235   Main St #319,Venice,2,2.00 (2 0 0 0),1366,"$1,061.49","$1,450,000","$1,450,000",$930.82,"73,400",1989.0,0,33.9947352,-118.4766702,
,63.0,24-461785,11,C/C,S,255   Main St #106,Venice,2,2.00 (2 0 0 0),1188,$837.54,"$995,000","$995,000",$823.25,"73,400",1989.0,21,33.9947218,-118.4766585,
,34.0,24-469043,11,C/C,S,25   Brooks Ave #3,Venice,2,3.00 (2 0 1 0),2024,"$1,232.71","$2,495,000","$2,391,150",$565.00,"7,173",2002.0,80,33.9910975,-118.4762704,
,33.0,25-477631,11,C/C,S,659   Broadway St ,Venice,4,4.00 (3 0 1 0),3200,$812.19,"$2,599,000","$2,600,000",$0.00,"4,796",2016.0,32,33.9955545,-118.4667125,
,36.0,25-488601,11,C/C,S,457   Washington Blvd ,Marina Del Rey,3,3.00 (1 2 0 0),1956,$817.48,"$1,599,000","$1,550,000",$385.00,"2,501",2002.0,14,33.9776848,-118.448647,
,33.0,25-490057,11,C/C,S,615   HAMPTON DR #B201,VENICE,2,2.00 (1 0 1 0),1635,$963.30,"$1,575,000","$1,550,000",$614.00,"11,549",2004.0,125,33.9948292,-118.4751824,
,45.0,25494667,11,C/C,S,654   Broadway St ,Venice,2,2.00 (1 0 1 0),1100,$904.55,"$995,000","$990,000",$500.00,,,33,33.9953622,-118.4667069,
,17.0,25496663,11,C/C,S,1046   Princeton Dr #121,Venice,4,2.00 (2 0 0 0),3700,$634.86,"$2,349,000","$2,275,000","$1,374.18","46,290",2010.0,13,33.9855419,-118.4484439,
,1.0,25504787,11,C/C,S,615   Hampton Dr #B105,Venice,1,1.00 (1 0 0 0),1037,"$1,205.40","$1,250,000","$1,150,000",$571.00,"11,552",2004.0,68,33.9948292,-118.4751824,
,24.0,25506775,11,C/C,S,2010   Alberta Ave ,Venice,4,4.00 (3 0 1 0),2117,"$1,038.73","$2,199,000","$2,199,000",$425.23,"3,002",1992.0,6,33.9865368,-118.4690362,
,20.0,25515147,11,C/C,S,710   4th Ave #1,Venice,3,3.00 (3 0 0 0),1760,$937.44,"$1,649,900","$1,670,000",$500.00,"10,684",1992.0,12,33.9951495,-118.4727352,
,24.0,25521819,11,C/C,S,741   Mildred Ave #7,Venice,2,3.00 (2 0 1 0),1924,"$1,036.90","$1,995,000","$1,935,855",$350.00,"14,077",2007.0,28,33.9874878,-118.4592047,
,31.0,25523669,11,C/C,S,17   20th Ave #B,Venice,2,3.00 (2 0 1 0),1449,"$1,035.20","$1,500,000","$1,480,000",$0.00,"2,642",1983.0,84,33.9851289,-118.4713936,
,20.0,25524857,11,C/C,S,255   Main St #204,Venice,2,2.00 (2 0 0 0),1188,$883.00,"$1,049,000","$1,065,000",$763.76,"73,400",1989.0,10,33.9947218,-118.4766585,
,18.0,25525837,11,C/C,S,22   Navy St #206,Venice,1,1.00 (1 0 0 0),619,"$1,533.93","$949,500","$910,000",$720.00,"20,258",1973.0,58,33.9962116,-118.4807313,
,39.0,25527755,11,C/C,S,615   Mildred Ave ,Venice,3,3.00 (2 0 1 0),1978,"$1,059.15","$2,095,000","$2,050,000",,"8,003",1981.0,9,33.987193,-118.4637474,
,1.0,25536451,11,C/C,S,2008   Alberta Ave ,Venice,2,3.00 (2 0 1 0),1620,$984.57,"$1,595,000","$1,525,000",$347.33,"3,002",1992.0,35,33.986548,-118.4690452,
,22.0,25546997,11,C/C,S,540 1/2  Vernon Ave ,Venice,2,2.00 (2 0 0 0),1930,"$1,036.27","$1,999,999","$1,894,929",$0.00,"4,530",2009.0,29,33.9970057,-118.4696589,
,31.0,25547431,11,C/C,S,1113   Electric Ave #6,Venice,1,2.00 (1 0 1 0),1184,"$1,266.89","$1,500,000","$1,500,000",$600.00,"14,394",2000.0,10,33.992206,-118.4702677,
,,COMP23132233,11,C/C,S,630   HARBOR ST #5,VENICE,2,3.00 (3 0 0 0),2316,$734.02,"$1,700,000","$1,700,000",,"363,826",1986.0,0,33.985259,-118.460342,
,,COMP24135097,11,C/C,S,625   MILDRED AVE ,VENICE,3,3.00 (3 0 0 0),1980,"$1,035.35","$2,050,000","$2,050,000",,"7,523",1981.0,0,33.987263,-118.462662,
