Open Houses,Photo,MLS,AR,Type,S,Address,City,BR,Baths(FTHQ),SqFt,LP $/SqFt,LP,SP,HOD,Lot Sz,YB,DOM,latitude,longitude,unit_count
,24.0,224000532VC,11,SFR,S,2420   Frey AVE ,VENICE,2.0,2.00 (2 0 0 0),860.0,"$1,773.26","$1,525,000","$1,498,000",,"3,599",1955.0,63,33.98606,-118.4601681,
,32.0,23-228467,11,SFR,S,513   Grand Blvd ,Venice,4.0,4.00 (3 0 1 0),2522.0,"$1,110.23","$2,800,000","$2,800,000",,"2,701",2001.0,314,33.9883899,-118.4667843,
,64.0,23-253795,11,SFR,S,938   Amoroso Pl ,Venice,3.0,3.00 (2 0 1 0),2482.0,"$1,692.18","$4,200,000","$4,234,776",,"3,593",1947.0,23,33.9947521,-118.456903,
,7.0,23-261793,11,SFR,S,421   Carroll Canal  ,Venice,4.0,5.00 (5 0 0 0),3473.0,$660.81,"$2,295,000","$1,950,000",,"2,400",,272,33.9852556,-118.4665829,
,22.0,23-289647,11,SFR,S,641   Flower Ave ,Venice,3.0,3.00 (3 0 0 0),1504.0,"$1,326.46","$1,995,000","$2,000,000",,"5,798",1948.0,35,33.9989271,-118.4703653,
,18.0,23-292087,11,SFR,S,1246   Preston Way ,Venice,5.0,7.00 (5 0 2 0),7680.0,$416.02,"$3,195,000","$2,980,000",,"10,890",1952.0,41,34.0022629,-118.4555363,
,2.0,23-308227,11,SFR,S,2036   Glyndon Ave ,Venice,3.0,2.00 (2 0 0 0),1265.0,"$1,343.08","$1,699,000","$1,740,000",,"5,440",1957.0,13,34.0005341,-118.4526754,
,12.0,23-312003,11,SFR,S,710   Hampton Dr ,Venice,2.0,1.00 (1 0 0 0),855.0,"$1,695.91","$1,450,000","$1,350,000",,"3,080",1953.0,20,33.9941942,-118.474558,
,40.0,23-313907,11,SFR,S,2909   Ocean Ave ,Venice,2.0,2.00 (1 1 0 0),1609.0,"$1,239.90","$1,995,000","$1,900,000",,"5,041",1942.0,74,33.9833891,-118.4620748,
,33.0,23-314321,11,SFR,S,213   Howland Canal  ,Venice,3.0,4.00 (3 0 1 0),3764.0,"$1,301.81","$4,900,000","$4,900,000",,"2,850",2002.0,41,33.9830492,-118.4665265,
