Metrics: Closed Sales
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,6
Jan-2021,5
Feb-2021,6
Mar-2021,5
Apr-2021,4
May-2021,9
Jun-2021,6
Jul-2021,3
Aug-2021,6
Sep-2021,2
Oct-2021,6
Nov-2021,5
Dec-2021,7
Jan-2022,4
Feb-2022,2
Mar-2022,3
Apr-2022,9
May-2022,12
Jun-2022,1
Jul-2022,2
Aug-2022,6
Sep-2022,1
Oct-2022,5
Nov-2022,6
Dec-2022,3
Jan-2023,2
Feb-2023,1
Mar-2023,1
Apr-2023,3
May-2023,3
Jun-2023,2
Jul-2023,0
Aug-2023,2
Sep-2023,0
Oct-2023,0
Nov-2023,1
Dec-2023,1
Jan-2024,3
Feb-2024,1
Mar-2024,1
Apr-2024,2
May-2024,1
Jun-2024,3
Jul-2024,5
Aug-2024,2
Sep-2024,1
Oct-2024,4
Nov-2024,0
Dec-2024,4
Jan-2025,0
Feb-2025,3
Mar-2025,2
Apr-2025,3
May-2025,7
Jun-2025,2
Jul-2025,4
