Metrics: Median Sold $ / Sq. Ft.
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,860.44
Jan-2021,925.93
Feb-2021,917.18
Mar-2021,958.87
Apr-2021,1034.07
May-2021,895.93
Jun-2021,896.34
Jul-2021,825.50
Aug-2021,825.17
Sep-2021,879.38
Oct-2021,836.57
Nov-2021,996.75
Dec-2021,1050.97
Jan-2022,983.79
Feb-2022,794.13
Mar-2022,1026.10
Apr-2022,967.91
May-2022,895.58
Jun-2022,1797.47
Jul-2022,871.56
Aug-2022,961.63
Sep-2022,909.09
Oct-2022,989.85
Nov-2022,1020.16
Dec-2022,1107.98
Jan-2023,739.79
Feb-2023,1037.04
Mar-2023,863.56
Apr-2023,1163.52
May-2023,815.49
Jun-2023,913.71
Jul-2023,0
Aug-2023,1008.47
Sep-2023,0
Oct-2023,0
Nov-2023,997.41
Dec-2023,895.93
Jan-2024,973.39
Feb-2024,879.28
Mar-2024,680.21
Apr-2024,775.00
May-2024,1187.55
Jun-2024,918.37
Jul-2024,1042.40
Aug-2024,939.03
Sep-2024,1012.82
Oct-2024,941.71
Nov-2024,0
Dec-2024,931.06
Jan-2025,0
Feb-2025,946.46
Mar-2025,898.13
Apr-2025,973.68
May-2025,900.00
Jun-2025,1025.17
Jul-2025,1107.45
