Metrics: Median Days on Market
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,37
Jan-2021,140
Feb-2021,131
Mar-2021,100
Apr-2021,102
May-2021,17
Jun-2021,25
Jul-2021,17
Aug-2021,47
Sep-2021,85
Oct-2021,9
Nov-2021,12
Dec-2021,24
Jan-2022,53
Feb-2022,31
Mar-2022,8
Apr-2022,12
May-2022,20
Jun-2022,8
Jul-2022,100
Aug-2022,20
Sep-2022,16
Oct-2022,14
Nov-2022,24
Dec-2022,16
Jan-2023,26
Feb-2023,12
Mar-2023,16
Apr-2023,19
May-2023,10
Jun-2023,10
Jul-2023,0
Aug-2023,41
Sep-2023,0
Oct-2023,0
Nov-2023,11
Dec-2023,45
Jan-2024,12
Feb-2024,58
Mar-2024,120
Apr-2024,33
May-2024,19
Jun-2024,13
Jul-2024,25
Aug-2024,29
Sep-2024,16
Oct-2024,76
Nov-2024,0
Dec-2024,24
Jan-2025,0
Feb-2025,72
Mar-2025,46
Apr-2025,14
May-2025,18
Jun-2025,51
Jul-2025,42
