Metrics: Median Sale Price
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,1378750
Jan-2021,955000
Feb-2021,1172500
Mar-2021,1850000
Apr-2021,1242500
May-2021,1300000
Jun-2021,1725000
Jul-2021,1353000
Aug-2021,1305650
Sep-2021,1531250
Oct-2021,1615000
Nov-2021,1535000
Dec-2021,1247500
Jan-2022,1350000
Feb-2022,1101250
Mar-2022,2450000
Apr-2022,1550000
May-2022,1618000
Jun-2022,2840000
Jul-2022,2000000
Aug-2022,1897500
Sep-2022,1080000
Oct-2022,1315000
Nov-2022,1387500
Dec-2022,1800000
Jan-2023,1554076
Feb-2023,1400000
Mar-2023,2000000
Apr-2023,1110000
May-2023,1500000
Jun-2023,1287500
Jul-2023,0
Aug-2023,2285000
Sep-2023,0
Oct-2023,0
Nov-2023,1925000
Dec-2023,1300000
Jan-2024,1625000
Feb-2024,925000
Mar-2024,1925000
Apr-2024,1330000
May-2024,1383500
Jun-2024,1925000
Jul-2024,1920000
Aug-2024,1605000
Sep-2024,790000
Oct-2024,1620000
Nov-2024,0
Dec-2024,997500
Jan-2025,0
Feb-2025,1644000
Mar-2025,2333075
Apr-2025,1550000
May-2025,1069000
Jun-2025,1337500
Jul-2025,1355000
