Metrics: New Listings
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,3
Jan-2021,10
Feb-2021,5
Mar-2021,13
Apr-2021,13
May-2021,13
Jun-2021,9
Jul-2021,14
Aug-2021,4
Sep-2021,8
Oct-2021,3
Nov-2021,5
Dec-2021,4
Jan-2022,4
Feb-2022,7
Mar-2022,13
Apr-2022,5
May-2022,5
Jun-2022,5
Jul-2022,5
Aug-2022,2
Sep-2022,12
Oct-2022,3
Nov-2022,5
Dec-2022,3
Jan-2023,5
Feb-2023,2
Mar-2023,5
Apr-2023,5
May-2023,5
Jun-2023,5
Jul-2023,0
Aug-2023,2
Sep-2023,5
Oct-2023,7
Nov-2023,3
Dec-2023,2
Jan-2024,5
Feb-2024,2
Mar-2024,1
Apr-2024,4
May-2024,12
Jun-2024,8
Jul-2024,4
Aug-2024,16
Sep-2024,3
Oct-2024,4
Nov-2024,4
Dec-2024,2
Jan-2025,10
Feb-2025,6
Mar-2025,8
Apr-2025,9
May-2025,7
Jun-2025,6
Jul-2025,7
