Metrics: Total Sold Volume
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,8224500
Jan-2021,5256500
Feb-2021,6924000
Mar-2021,9034000
Apr-2021,5985000
May-2021,12328375
Jun-2021,10435000
Jul-2021,3868000
Aug-2021,8041300
Sep-2021,3062500
Oct-2021,9370000
Nov-2021,7225000
Dec-2021,9597500
Jan-2022,5465000
Feb-2022,2202500
Mar-2022,6505000
Apr-2022,12962000
May-2022,19923797
Jun-2022,2840000
Jul-2022,4000000
Aug-2022,11989000
Sep-2022,1080000
Oct-2022,6590000
Nov-2022,8585000
Dec-2022,8315000
Jan-2023,3108153
Feb-2023,1400000
Mar-2023,2000000
Apr-2023,6849000
May-2023,5350000
Jun-2023,2575000
Jul-2023,0
Aug-2023,4570000
Sep-2023,0
Oct-2023,0
Nov-2023,1925000
Dec-2023,1300000
Jan-2024,4899000
Feb-2024,925000
Mar-2024,1925000
Apr-2024,2660000
May-2024,1383500
Jun-2024,5947500
Jul-2024,8714000
Aug-2024,3210000
Sep-2024,790000
Oct-2024,6939000
Nov-2024,0
Dec-2024,3795000
Jan-2025,0
Feb-2025,5249000
Mar-2025,4666150
Apr-2025,5044000
May-2025,9769855
Jun-2025,2675000
Jul-2025,5170000
