Metrics: Closed Sales
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,6
Jan-2021,7
Feb-2021,12
Mar-2021,3
Apr-2021,10
May-2021,5
Jun-2021,3
Jul-2021,6
Aug-2021,6
Sep-2021,8
Oct-2021,6
Nov-2021,13
Dec-2021,5
Jan-2022,5
Feb-2022,10
Mar-2022,12
Apr-2022,6
May-2022,6
Jun-2022,8
Jul-2022,5
Aug-2022,3
Sep-2022,3
Oct-2022,3
Nov-2022,4
Dec-2022,3
Jan-2023,1
Feb-2023,6
Mar-2023,5
Apr-2023,3
May-2023,7
Jun-2023,4
Jul-2023,2
Aug-2023,3
Sep-2023,2
Oct-2023,5
Nov-2023,5
Dec-2023,4
Jan-2024,2
Feb-2024,3
Mar-2024,4
Apr-2024,4
May-2024,3
Jun-2024,6
Jul-2024,2
Aug-2024,3
Sep-2024,3
Oct-2024,4
Nov-2024,7
Dec-2024,8
Jan-2025,3
Feb-2025,3
Mar-2025,1
Apr-2025,4
May-2025,8
Jun-2025,10
Jul-2025,4
