Metrics: Median Days on Market
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,51
Jan-2021,48
Feb-2021,62
Mar-2021,225
Apr-2021,27
May-2021,16
Jun-2021,116
Jul-2021,43
Aug-2021,80
Sep-2021,25
Oct-2021,94
Nov-2021,79
Dec-2021,123
Jan-2022,28
Feb-2022,52
Mar-2022,59
Apr-2022,90
May-2022,78
Jun-2022,17
Jul-2022,60
Aug-2022,105
Sep-2022,48
Oct-2022,53
Nov-2022,70
Dec-2022,91
Jan-2023,84
Feb-2023,52
Mar-2023,20
Apr-2023,12
May-2023,22
Jun-2023,11
Jul-2023,94
Aug-2023,25
Sep-2023,21
Oct-2023,44
Nov-2023,42
Dec-2023,17
Jan-2024,60
Feb-2024,60
Mar-2024,21
Apr-2024,139
May-2024,68
Jun-2024,34
Jul-2024,59
Aug-2024,72
Sep-2024,28
Oct-2024,124
Nov-2024,45
Dec-2024,82
Jan-2025,60
Feb-2025,45
Mar-2025,28
Apr-2025,77
May-2025,51
Jun-2025,63
Jul-2025,8
