Metrics: Median Sale Price
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,1837500
Jan-2021,1800000
Feb-2021,1855000
Mar-2021,2200000
Apr-2021,1842500
May-2021,2250000
Jun-2021,1688750
Jul-2021,2362400
Aug-2021,1912500
Sep-2021,2127000
Oct-2021,1975000
Nov-2021,2000000
Dec-2021,2320000
Jan-2022,2800000
Feb-2022,1896000
Mar-2022,1878365
Apr-2022,2249000
May-2022,3135000
Jun-2022,2155000
Jul-2022,1825000
Aug-2022,2400000
Sep-2022,2250000
Oct-2022,2350000
Nov-2022,2485500
Dec-2022,2035000
Jan-2023,5450000
Feb-2023,1625000
Mar-2023,1965000
Apr-2023,3060000
May-2023,1975000
Jun-2023,1890000
Jul-2023,1695000
Aug-2023,2301400
Sep-2023,2571474
Oct-2023,1800000
Nov-2023,1900000
Dec-2023,1779350
Jan-2024,1810000
Feb-2024,1830000
Mar-2024,1381250
Apr-2024,2142820
May-2024,2135000
Jun-2024,2067500
Jul-2024,1468750
Aug-2024,1426000
Sep-2024,1575000
Oct-2024,1412500
Nov-2024,1581000
Dec-2024,2006250
Jan-2025,2225000
Feb-2025,2885000
Mar-2025,1940000
Apr-2025,1662500
May-2025,1467500
Jun-2025,2350000
Jul-2025,2351500
