Metrics: Median Sold $ / Sq. Ft.
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,888.00
Jan-2021,791.01
Feb-2021,901.22
Mar-2021,1280.56
Apr-2021,882.66
May-2021,852.72
Jun-2021,805.26
Jul-2021,920.41
Aug-2021,810.67
Sep-2021,990.06
Oct-2021,882.35
Nov-2021,892.86
Dec-2021,1100.00
Jan-2022,721.15
Feb-2022,888.20
Mar-2022,831.03
Apr-2022,863.45
May-2022,945.31
Jun-2022,1083.57
Jul-2022,1034.26
Aug-2022,1153.42
Sep-2022,925.93
Oct-2022,1168.69
Nov-2022,953.20
Dec-2022,846.23
Jan-2023,543.70
Feb-2023,741.31
Mar-2023,1105.17
Apr-2023,1044.37
May-2023,932.84
Jun-2023,952.26
Jul-2023,907.12
Aug-2023,978.54
Sep-2023,1995.57
Oct-2023,864.20
Nov-2023,757.72
Dec-2023,1109.76
Jan-2024,964.68
Feb-2024,732.76
Mar-2024,855.17
Apr-2024,907.17
May-2024,1041.67
Jun-2024,971.67
Jul-2024,1017.36
Aug-2024,649.96
Sep-2024,1115.16
Oct-2024,833.11
Nov-2024,996.19
Dec-2024,734.58
Jan-2025,846.65
Feb-2025,1091.70
Mar-2025,947.27
Apr-2025,840.11
May-2025,738.57
Jun-2025,765.09
Jul-2025,1021.52
