Metrics: Total Sold Volume
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,13176912
Jan-2021,11657500
Feb-2021,24433780
Mar-2021,6650000
Apr-2021,21785475
May-2021,12498000
Jun-2021,5928250
Jul-2021,14981950
Aug-2021,12625000
Sep-2021,18095780
Oct-2021,11546000
Nov-2021,37087200
Dec-2021,12092500
Jan-2022,14005000
Feb-2022,20633000
Mar-2022,23565730
Apr-2022,13018000
May-2022,26120000
Jun-2022,17108500
Jul-2022,10805500
Aug-2022,7190000
Sep-2022,7350000
Oct-2022,7571000
Nov-2022,9588097
Dec-2022,7035000
Jan-2023,5450000
Feb-2023,15075000
Mar-2023,9590000
Apr-2023,8655512
May-2023,13591750
Jun-2023,7966700
Jul-2023,3390000
Aug-2023,7326400
Sep-2023,5142948
Oct-2023,11103100
Nov-2023,11591500
Dec-2023,8977033
Jan-2024,3620000
Feb-2024,5615000
Mar-2024,5830875
Apr-2024,10130640
May-2024,6085000
Jun-2024,11755000
Jul-2024,2937500
Aug-2024,4492500
Sep-2024,5905000
Oct-2024,5805000
Nov-2024,12196343
Dec-2024,16876000
Jan-2025,6942000
Feb-2025,8935000
Mar-2025,1940000
Apr-2025,6062000
May-2025,16380000
Jun-2025,24373750
Jul-2025,11533000
