"Open Houses","Photo","MLS","AR","S","Address","City","BR","Baths(FTHQ)","SqFt","Lot Sz","YB","LP","SP","Lease Terms","Furnished","DOM"
"","6","SB25120628MR","11","LD","101   Dudley Ave #305","VENICE","0","0.00 (0 0 0 0)","200","6,098","1914","$1,598","$1,498","1+Year,1-Year,Month-to-Month,Other","Unfurnished","20"
"","22","24-408115","11","LD","109   Brooks Ave #1","Venice","0","1.00 (1 0 0 0)","275","2,248","1965","$1,650","$1,650","Month-to-Month","Unfurnished","2"
"","22","25521999","11","LD","16   Clubhouse Ave #14","Venice","0","1.00 (1 0 0 0)","340","5,400","1908","$1,695","$1,695","1+Year,1-Year,12 Months","Furnished","65"
"","22","25501137","11","LD","109   Brooks Ave #1","Venice","0","1.00 (1 0 0 0)","275","2,248","1965","$1,750","$1,750","Month-to-Month","Unfurnished","20"
"","20","25522021","11","LD","16   Clubhouse Ave #16","Venice","0","1.00 (1 0 0 0)","340","5,400","1908","$1,795","$1,795","1+Year,1-Year,12 Months","Furnished","49"
"","7","24-397475","11","LD","2337   Penmar Ave #2339","Venice","1","1.00 (1 0 0 0)","","8,305","1955","$1,900","$1,900","1+Year,1-Year","Unfurnished","77"
"","41","25521409","11","LD","309   Broadway St #2","Venice","0","1.00 (1 0 0 0)","300","15,597","1961","$1,950","$1,950","Month-to-Month","Unfurnished","6"
"","10","SB25120635MR","11","LD","30   Dudley Ave #3","VENICE","0","1.00 (1 0 0 0)","200","3,746","1908","$1,993","$1,998","1+Year,1-Year,Month-to-Month,Other","Unfurnished","43"
"","8","24-462819","11","LD","2337   Penmar Ave #2339","Venice","1","1.00 (1 0 0 0)","","8,305","1955","$1,995","$1,995","1+Year,1-Year","Unfurnished","23"
"","7","SR24119549MR","11","LD","34   Ozone  #5","VENICE","0","1.00 (1 0 0 0)","300","3,483","1964","$1,999","$1,999","","Unfurnished","24"
"","11","25523749","11","LD","311  N Venice Blvd #1","Venice","0","1.00 (1 0 0 0)","","3,142","1924","$2,000","$2,000","Month-to-Month","Unfurnished","4"
"","10","25500737","11","LD","440   Howland Canal  #A","Venice","1","1.00 (1 0 0 0)","350","2,850","1924","$2,029","$2,029","1-Year,1+Year","Unfurnished","83"
"","10","SB25120638MR","11","LD","30   Dudley Ave #6","VENICE","0","1.00 (1 0 0 0)","200","3,746","1908","$2,098","$2,098","1+Year,1-Year,Other","Unfurnished","30"
"","9","24-466203","11","LD","315  N VENICE BLVD #1","VENICE","0","1.00 (1 0 0 0)","250","3,143","1924","$2,100","$2,050","Month-to-Month","Unfurnished","14"
"","19","25504123","11","LD","2337   Penmar Ave #7","Venice","1","1.00 (1 0 0 0)","","8,305","1955","$2,100","$2,100","12 Months","Unfurnished","15"
"","15","25515957","11","LD","850   Venezia Ave ","Venice","0","1.00 (1 0 0 0)","436","3,673","1923","$2,200","$2,200","1+Year","Unfurnished","2"
"","17","25530499","11","LD","216   6th AVE ","VENICE","0","1.00 (1 0 0 0)","300","4,224","1951","$2,200","$2,200","1+Year","Unfurnished","35"
"","13","SR24252769MR","11","LD","1302   Pacific Ave #1","VENICE","0","1.00 (1 0 0 0)","400","2,265","1912","$2,200","$2,200","","Unfurnished","10"
"","14","25490859","11","LD","16   Clubhouse Ave #7","Venice","1","1.00 (1 0 0 0)","600","5,400","1908","$2,295","$2,295","1+Year,1-Year,12 Months","Furnished","168"
"","11","24-392747","11","LD","214   6th AVE ","VENICE","0","1.00 (1 0 0 0)","300","4,224","1951","$2,295","$2,200","1+Year","Unfurnished","22"
"","7","24-394875","11","LD","2001   Penmar Ave #1","Venice","0","1.00 (1 0 0 0)","450","10,370","1962","$2,295","$2,095","1-Year","Unfurnished","23"
"","10","SB25120640MR","11","LD","30   Dudley Ave #10","VENICE","0","1.00 (1 0 0 0)","200","3,746","1908","$2,298","$2,098","1+Year,1-Year,Month-to-Month,Other","Unfurnished","25"
"","11","24-421831","11","LD","961   Marco Pl #1/2","Venice","0","1.00 (0 1 0 0)","350","3,600","1920","$2,300","$2,300","1+Year","Unfurnished","29"
"","14","24-470007","11","LD","115   Breeze Ave #2","Venice","1","1.00 (1 0 0 0)","510","2,251","1915","$2,300","$2,300","Month-to-Month","Unfurnished","6"
"","16","24-473169","11","LD","426   RIALTO AVE #C","VENICE","0","1.00 (1 0 0 0)","","2,550","1921","$2,350","$2,350","1+Year","Unfurnished","11"
"","11","24-456221","11","LD","3005   Ocean Front Walk #B","Venice","1","1.00 (1 0 0 0)","","2,520","1960","$2,350","$2,300","1+Year","Unfurnished","20"
"","12","24-401785","11","LD","216   6th AVE ","VENICE","0","1.00 (1 0 0 0)","300","4,224","1951","$2,395","$2,395","1+Year","Unfurnished","10"
