Metrics: Median Lease Price
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,5100
Jan-2021,5100
Feb-2021,4972
Mar-2021,4950
Apr-2021,5500
May-2021,6100
Jun-2021,5575
Jul-2021,5222
Aug-2021,5375
Sep-2021,4995
Oct-2021,4995
Nov-2021,6100
Dec-2021,5500
Jan-2022,5800
Feb-2022,6500
Mar-2022,6000
Apr-2022,6850
May-2022,5972
Jun-2022,6100
Jul-2022,5600
Aug-2022,5900
Sep-2022,6500
Oct-2022,5222
Nov-2022,7000
Dec-2022,6295
Jan-2023,4495
Feb-2023,5850
Mar-2023,6495
Apr-2023,4595
May-2023,6747
Jun-2023,5797
Jul-2023,6000
Aug-2023,4800
Sep-2023,5250
Oct-2023,5500
Nov-2023,6500
Dec-2023,5197
Jan-2024,6995
Feb-2024,6500
Mar-2024,6125
Apr-2024,5950
May-2024,6385
Jun-2024,5950
Jul-2024,5400
Aug-2024,5500
Sep-2024,4500
Oct-2024,6145
Nov-2024,6697
Dec-2024,4500
Jan-2025,10250
Feb-2025,5550
Mar-2025,6350
Apr-2025,4975
May-2025,5245
Jun-2025,4450
Jul-2025,5650
