Metrics: Total Leased Volume
Time Calculation: Monthly
Date From:,Dec-2020
Date,Marina del Rey
Dec-2020,143716
Jan-2021,93655
Feb-2021,167430
Mar-2021,168565
Apr-2021,178275
May-2021,196305
Jun-2021,201055
Jul-2021,117889
Aug-2021,206593
Sep-2021,181742
Oct-2021,200945
Nov-2021,152595
Dec-2021,119100
Jan-2022,262613
Feb-2022,117010
Mar-2022,178421
Apr-2022,188135
May-2022,120820
Jun-2022,132450
Jul-2022,149060
Aug-2022,231280
Sep-2022,186600
Oct-2022,113285
Nov-2022,126064
Dec-2022,136420
Jan-2023,125874
Feb-2023,170470
Mar-2023,185415
Apr-2023,181840
May-2023,152971
Jun-2023,124935
Jul-2023,199302
Aug-2023,212662
Sep-2023,130250
Oct-2023,144315
Nov-2023,179295
Dec-2023,137220
Jan-2024,148600
Feb-2024,160040
Mar-2024,154735
Apr-2024,284110
May-2024,213075
Jun-2024,234730
Jul-2024,143859
Aug-2024,157620
Sep-2024,131870
Oct-2024,119734
Nov-2024,156575
Dec-2024,161588
Jan-2025,562622
Feb-2025,197394
Mar-2025,297128
Apr-2025,154550
May-2025,194119
Jun-2025,195959
