"Open Houses","Photo","MLS","AR","S","Address","City","BR","Baths(FTHQ)","SqFt","Lot Sz","YB","LP","SP","Lease Terms","Furnished","DOM"
"","1","25-484475","11","LD","1105   Garfield Ave #1/2","Venice","0","1.00 (1 0 0 0)","0","10,161","1924","$2,400","$2,400","1+Year","Unfurnished","7"
"","1","25554431","11","LD","1167   Nelrose Ave ","Venice","1","1.00 (1 0 0 0)","1,888","4,401","1952","$2,450","$2,450","Negotiable","Unfurnished","19"
"","17","24-450275","11","LD","225   Venice Way  ","Venice","1","1.00 (1 0 0 0)","","4,027","","$2,950","$2,950","1+Year","Unfurnished","9"
"","13","25506479","11","LD","318   Brooks Ave ","Venice","1","1.00 (1 0 0 0)","600","5,196","1956","$2,995","$2,995","1+Year","Unfurnished","7"
"","16","25515441","11","LD","676   BROADWAY ST #A","VENICE","1","1.00 (1 0 0 0)","512","5,201","2015","$3,000","$3,000","1+Year","Unfurnished","24"
"","18","25548851","11","LD","529   GRAND BLVD ","VENICE","1","1.00 (1 0 0 0)","440","2,701","1923","$3,200","$3,200","1+Year","Unfurnished","34"
"","15","25554567","11","LD","420   Altair PL #A","VENICE","1","1.00 (1 0 0 0)","480","2,850","1920","$3,400","$3,400","1+Year","Unfurnished","17"
"","16","24-431607","11","LD","443   Grand  #A","VENICE","1","1.00 (1 0 0 0)","450","2,701","1922","$3,450","$3,450","1+Year","Unfurnished","8"
"","29","25529751","11","LD","30 1/2  Paloma Ave ","Venice","2","1.00 (1 0 0 0)","700","3,524","1908","$3,500","$3,500","1+Year,1-Year,12 Months","Unfurnished","15"
"","22","SB24200947MR","11","LD","744 1/2  Flower AVE ","VENICE","1","1.00 (1 0 0 0)","700","6,521","1924","$3,700","$3,750","","Unfurnished","5"
"","21","25551535","11","LD","849   San Miguel Ave ","Venice","2","1.00 (1 0 0 0)","750","3,500","1953","$3,800","$3,800","1+Year,1-Year","Unfurnished","3"
"","15","25494919","11","LD","941   Nowita Pl ","Venice","2","1.00 (1 0 0 0)","688","3,400","1923","$3,995","$3,700","1+Year","Unfurnished","21"
"","24","25533675","11","LD","443   GRAND  ","VENICE","2","1.00 (1 0 0 0)","880","2,701","1922","$4,200","$4,200","1+Year","Unfurnished","10"
"","12","24-462579","11","LD","414   Carroll Canal  ","Venice","0","1.00 (1 0 0 0)","400","2,850","1922","$4,200","$3,600","1+Year","Both","35"
