Metrics: Closed Sales
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,30
Jan-2021,10
Feb-2021,26
Mar-2021,28
Apr-2021,20
May-2021,30
Jun-2021,28
Jul-2021,31
Aug-2021,27
Sep-2021,17
Oct-2021,26
Nov-2021,25
Dec-2021,29
Jan-2022,14
Feb-2022,25
Mar-2022,31
Apr-2022,28
May-2022,22
Jun-2022,22
Jul-2022,20
Aug-2022,16
Sep-2022,19
Oct-2022,9
Nov-2022,13
Dec-2022,15
Jan-2023,7
Feb-2023,15
Mar-2023,15
Apr-2023,18
May-2023,13
Jun-2023,15
Jul-2023,13
Aug-2023,12
Sep-2023,14
Oct-2023,20
Nov-2023,11
Dec-2023,10
Jan-2024,11
Feb-2024,12
Mar-2024,12
Apr-2024,18
May-2024,16
Jun-2024,16
Jul-2024,17
Aug-2024,18
Sep-2024,13
Oct-2024,21
Nov-2024,17
Dec-2024,20
Jan-2025,15
Feb-2025,27
Mar-2025,20
Apr-2025,21
May-2025,24
Jun-2025,25
Jul-2025,17
