Metrics: Median Days on Market
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,45
Jan-2021,46
Feb-2021,45
Mar-2021,35
Apr-2021,12
May-2021,23
Jun-2021,25
Jul-2021,21
Aug-2021,31
Sep-2021,37
Oct-2021,46
Nov-2021,34
Dec-2021,32
Jan-2022,57
Feb-2022,60
Mar-2022,13
Apr-2022,11
May-2022,17
Jun-2022,14
Jul-2022,15
Aug-2022,30
Sep-2022,33
Oct-2022,28
Nov-2022,23
Dec-2022,31
Jan-2023,64
Feb-2023,19
Mar-2023,27
Apr-2023,46
May-2023,32
Jun-2023,14
Jul-2023,11
Aug-2023,20
Sep-2023,21
Oct-2023,14
Nov-2023,56
Dec-2023,29
Jan-2024,41
Feb-2024,31
Mar-2024,30
Apr-2024,29
May-2024,19
Jun-2024,24
Jul-2024,16
Aug-2024,34
Sep-2024,53
Oct-2024,43
Nov-2024,30
Dec-2024,49
Jan-2025,48
Feb-2025,29
Mar-2025,29
Apr-2025,20
May-2025,14
Jun-2025,26
Jul-2025,36
