Metrics: Median Sale Price
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,1865000
Jan-2021,1602500
Feb-2021,2100000
Mar-2021,1875500
Apr-2021,1915000
May-2021,2325000
Jun-2021,2100000
Jul-2021,2215000
Aug-2021,2311000
Sep-2021,1900000
Oct-2021,2685000
Nov-2021,2125000
Dec-2021,2650000
Jan-2022,3152500
Feb-2022,2160000
Mar-2022,2500000
Apr-2022,2607212
May-2022,2985000
Jun-2022,2320000
Jul-2022,2225000
Aug-2022,2097500
Sep-2022,2500000
Oct-2022,1900000
Nov-2022,2225000
Dec-2022,2150000
Jan-2023,1955000
Feb-2023,2000000
Mar-2023,2300000
Apr-2023,2780000
May-2023,2950000
Jun-2023,2500000
Jul-2023,2725000
Aug-2023,2500000
Sep-2023,2737500
Oct-2023,2483603
Nov-2023,3400000
Dec-2023,2365000
Jan-2024,2495000
Feb-2024,1812500
Mar-2024,3385000
Apr-2024,2070000
May-2024,1862500
Jun-2024,2011760
Jul-2024,1981688
Aug-2024,1922000
Sep-2024,2280000
Oct-2024,2080000
Nov-2024,2359970
Dec-2024,2162500
Jan-2025,2740000
Feb-2025,2950000
Mar-2025,2732250
Apr-2025,2350000
May-2025,2375000
Jun-2025,2100000
Jul-2025,2590000
