Metrics: Median Sold $ / Sq. Ft.
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,1052.31
Jan-2021,977.12
Feb-2021,1158.37
Mar-2021,1190.46
Apr-2021,1201.74
May-2021,1379.96
Jun-2021,1301.93
Jul-2021,1209.00
Aug-2021,1125.97
Sep-2021,1406.42
Oct-2021,1129.16
Nov-2021,1342.41
Dec-2021,1143.62
Jan-2022,1082.53
Feb-2022,1216.58
Mar-2022,1302.76
Apr-2022,1332.16
May-2022,1328.70
Jun-2022,1425.89
Jul-2022,1452.63
Aug-2022,1315.30
Sep-2022,1208.31
Oct-2022,1040.70
Nov-2022,1418.03
Dec-2022,1375.35
Jan-2023,1437.87
Feb-2023,1040.04
Mar-2023,1086.06
Apr-2023,1324.58
May-2023,1238.52
Jun-2023,1134.38
Jul-2023,1188.81
Aug-2023,1207.52
Sep-2023,1358.49
Oct-2023,1111.05
Nov-2023,1237.11
Dec-2023,1291.15
Jan-2024,1301.81
Feb-2024,1126.14
Mar-2024,1272.25
Apr-2024,1142.14
May-2024,1203.45
Jun-2024,1500.00
Jul-2024,1160.66
Aug-2024,1446.22
Sep-2024,1255.33
Oct-2024,1264.09
Nov-2024,1291.84
Dec-2024,1257.94
Jan-2025,1181.28
Feb-2025,1316.54
Mar-2025,1423.61
Apr-2025,1209.49
May-2025,1385.36
Jun-2025,1203.70
Jul-2025,1348.14
