Metrics: Total Sold Volume
Time Calculation: Monthly
Date From:,Dec-2020
Date,Venice
Dec-2020,64563415
Jan-2021,17898000
Feb-2021,59216470
Mar-2021,57025460
Apr-2021,38882950
May-2021,87708213
Jun-2021,61993500
Jul-2021,78464300
Aug-2021,61039100
Sep-2021,48579281
Oct-2021,72525450
Nov-2021,62490500
Dec-2021,84051433
Jan-2022,41074000
Feb-2022,61982529
Mar-2022,81633636
Apr-2022,75892002
May-2022,70712000
Jun-2022,52724000
Jul-2022,53401999
Aug-2022,37162900
Sep-2022,54972000
Oct-2022,20878950
Nov-2022,33013500
Dec-2022,38397400
Jan-2023,12823000
Feb-2023,40118000
Mar-2023,36247999
Apr-2023,58523312
May-2023,40017000
Jun-2023,40321000
Jul-2023,36823249
Aug-2023,32846000
Sep-2023,38095000
Oct-2023,52824306
Nov-2023,40960025
Dec-2023,23873000
Jan-2024,29147764
Feb-2024,28037300
Mar-2024,37845800
Apr-2024,43223000
May-2024,36098450
Jun-2024,35435058
Jul-2024,43897668
Aug-2024,39415873
Sep-2024,30192499
Oct-2024,56530389
Nov-2024,41901470
Dec-2024,50762000
Jan-2025,45806300
Feb-2025,82477450
Mar-2025,64835750
Apr-2025,61214906
May-2025,67537868
Jun-2025,69933750
Jul-2025,51224916
